variable,included_in_public_repo
hid,schema_only
weight,schema_only
region,schema_only
residence,schema_only
hhsize,schema_only
hhsize_z,schema_only
female_headed,schema_only
head_literate,schema_only
head_ever_school,schema_only
poor,schema_only
idp,schema_only
wash_deprivation,schema_only
improved_water,schema_only
unimproved_sanitation,schema_only
shock_exposed,schema_only
climate_livelihood_shock,schema_only
drought_shock,schema_only
food_price_shock,schema_only
livestock_death_shock,schema_only
flood_shock,schema_only
crop_shock,schema_only
conflict_shock,schema_only
formal_support_received,schema_only
institutional_support_broad,schema_only
family_friend_support,schema_only
erosive_coping,schema_only
any_income_asset_loss,schema_only
livestock_owner,schema_only
livestock_losses_reported,schema_only
crop_activity,schema_only
land_operator,schema_only
fishing_activity,schema_only
business_activity,schema_only
fies_raw_score,schema_only
moderate_severe_food_insecurity,schema_only
severe_food_insecurity,schema_only
high_risk_unreached,schema_only
direct_need_score,schema_only
