dimension,group,weighted_high_risk_population,weighted_missed_high_risk,missed_percent_within_group
Drought shock,0,338396.7242221832,332658.6136493683,98.30432443280762
Drought shock,1,592015.8302783966,281817.3816604614,47.60301452208402
Female-headed,1,477684.2162017822,330585.9963207245,69.2059702012593
Female-headed,0,452728.3382987976,283889.9989891052,62.70647869224828
Food-price shock,0,302174.31332588196,244018.2995147705,80.7541504203262
Food-price shock,1,628238.2411746979,370457.6957950592,58.96770866771287
IDP,0,833768.3760261536,551330.3846073151,66.12512544971135
IDP,1,96644.17847442627,63145.61070251465,65.33824561323584
Livestock owner,0,523388.75120544434,424534.47076797485,81.11264710794931
Livestock owner,1,407023.8032951355,189941.52454185486,46.66595000197742
Poor,0,930412.5545005798,614475.9953098297,66.043390358126
Residence,Urban,503605.2557849884,396332.2482662201,78.69898967762799
Residence,Rural,227074.13090515137,145272.57066345215,63.97583471282
Residence,Nomadic,199733.16781044006,72871.17638015747,36.48426407041069
WASH deprivation,0,364592.7432193756,319428.3216896057,87.61236410495574
WASH deprivation,1,565819.8112812042,295047.673620224,52.145164898368954
