strategy,score_variable,support_coverage_percent,recall_mean,recall_sd,missed_mean,missed_sd,precision_mean,precision_sd,lift_vs_budget
Bayesian risk targeting,bayesian_risk,5.0,8.998590473484498,0.0,91.0014095265155,0.0,72.15698285075179,0.0,1.7997180946968996
Bayesian risk targeting,bayesian_risk,10.0,17.994844942387047,0.0,82.00515505761295,0.0,72.1848601204875,0.0,1.7994844942387047
Bayesian risk targeting,bayesian_risk,15.0,26.48610514140473,0.0,73.51389485859528,0.0,70.89443057580584,0.0,1.7657403427603156
Bayesian risk targeting,bayesian_risk,20.0,33.956609641874,0.0,66.043390358126,0.0,68.02686600812545,0.0,1.6978304820937
Bayesian risk targeting,bayesian_risk,25.0,41.40579250317886,0.0,58.59420749682114,0.0,66.40828543797433,0.0,1.6562317001271545
Bayesian risk targeting,bayesian_risk,30.0,48.21893015549829,0.0,51.7810698445017,0.0,64.4052941621101,0.0,1.607297671849943
Bayesian risk targeting,bayesian_risk,40.0,62.62073948827507,0.0,37.37926051172493,0.0,62.713661900667006,0.0,1.5655184872068766
Bayesian risk targeting,bayesian_risk,50.0,76.77372286591869,0.0,23.226277134081318,0.0,61.505204677879696,0.0,1.5354744573183736
Climate/livelihood shock-only,climate_shock_score,5.0,6.549622744487797,0.0,93.45037725551221,0.0,52.53728318693511,0.0,1.3099245488975593
Climate/livelihood shock-only,climate_shock_score,10.0,13.783111251565947,0.0,86.21688874843404,0.0,55.22462591288125,0.0,1.3783111251565945
Climate/livelihood shock-only,climate_shock_score,15.0,20.143088635114395,0.0,79.8569113648856,0.0,53.790974808749795,0.0,1.342872575674293
Climate/livelihood shock-only,climate_shock_score,20.0,27.839030879904573,0.0,72.16096912009542,0.0,55.757049810545624,0.0,1.3919515439952286
Climate/livelihood shock-only,climate_shock_score,25.0,35.007869288134096,0.0,64.9921307118659,0.0,56.09122388902165,0.0,1.4003147715253639
Climate/livelihood shock-only,climate_shock_score,30.0,42.454805943603354,0.0,57.54519405639664,0.0,56.687920779383724,0.0,1.4151601981201118
Climate/livelihood shock-only,climate_shock_score,40.0,54.26952375498857,0.0,45.73047624501143,0.0,54.37098631841146,0.0,1.3567380938747142
