indicator,unweighted_n,weighted_percent
Climate/livelihood shock exposure,5173,71.91615588420794
Drought/severe water shortage shock,3372,43.17813850957225
Food-price shock,3504,49.62755564621067
Livestock death shock,1105,13.0800602860413
Moderate/severe food insecurity proxy,3326,44.080793058279674
Erosive coping response,1289,16.978253403645788
Formal support received after shock,344,3.796718939283969
High-risk unreached outcome,2940,40.05224440834672
Poor household,0,0.0
Female-headed household,3777,52.478074156640574
WASH deprivation,3562,48.1110572286701
